,caption,video_id,video,frame,results_st,results_lt
0,a man is dancing and singing in a room,202000823730_9,202000823730,9,0.8297842097136309,0.780053863657231
1,a pair of skis in the air with a pair of scissors,202000823730_137,202000823730,137,0.8300873491096933,0.7800247815182979
2,a man is holding a tennis racket in his hand,202000823730_451,202000823730,451,0.8298555162634089,0.7798000313250981
3,a man is jumping and spinning in circles,202000823730_725,202000823730,725,0.8300502761963267,0.7800019615720586
4,a man is jumping and spinning in circles,202000823730_860,202000823730,860,0.8300502761963267,0.7800019615720586
5,a man is playing tennis on a court,202000823730_994,202000823730,994,0.8293631872359529,0.7793531162988304
6,a man is on a skateboard in a gym,202000823730_1130,202000823730,1130,0.8299400522426827,0.7801296463116686
7,a man standing in front of a tv holding a tennis racquet,202000823730_1591,202000823730,1591,0.8298686425980971,0.7797307232999031
8,a man is dancing in a room with a lot of people,202000823730_2099,202000823730,2099,0.8297845763337971,0.7798661964047654
9,a man is dancing and singing on stage,202000823730_2305,202000823730,2305,0.8295979608989709,0.7798719728721404
10,a man in a suit stands in front of a sign,202000823730_2470,202000823730,2470,0.8298242042389953,0.7797785782125611
11,a man in a suit is playing a video game,202000823730_2577,202000823730,2577,0.8295700795946974,0.7794093885165763
12,a man in a suit stands in front of a sign,202000823730_2665,202000823730,2665,0.8298242042389953,0.7797785782125611
13,a man is dancing and singing with a microphone,202000823730_2864,202000823730,2864,0.8298262925950042,0.7801061232170309
14,a man standing in front of a tv holding a tennis racquet,202000823730_3197,202000823730,3197,0.8298686425980971,0.7797307232999031
15,a man is playing tennis on a court,202000823730_3426,202000823730,3426,0.8293631872359529,0.7793531162988304
16,a group of men in suits and ties posing for a picture,202000823730_3559,202000823730,3559,0.8296782155887436,0.7797347198708916
17,a man is jumping in the air with a tennis racket,202000823730_3719,202000823730,3719,0.8298856608561056,0.7797818742205878
18,a man is holding a sign that says <unk> <unk>,202000823730_3853,202000823730,3853,0.8300749734988941,0.7800484608408168
19,a man is skiing on a track during a race,202000823730_4160,202000823730,4160,0.8296772178586733,0.7796164007959763
20,a man in a red jacket holding a snowboard,202000823730_4467,202000823730,4467,0.8298995354403641,0.7801532979437781
21,a hockey player is <unk> a goal,202000823730_4651,202000823730,4651,0.8295010349101414,0.7791856109796299
22,a group of people riding on the back of motorcycles,202000823730_4836,202000823730,4836,0.8297810475183167,0.7797768302348375
23,a man in a suit and tie is smiling,202000823730_4980,202000823730,4980,0.8297322543056688,0.7799176764560161
24,a hockey player is <unk> a goal in a game,202000823730_5186,202000823730,5186,0.8294566587910953,0.7790663467237853
25,a hockey player is <unk> a goal,202000823730_5323,202000823730,5323,0.8295010349101414,0.7791856109796299
26,a hockey player is <unk> a goal in a game,202000823730_5390,202000823730,5390,0.8294566587910953,0.7790663467237853
27,a hockey player is <unk> a goal,202000823730_5477,202000823730,5477,0.8295010349101414,0.7791856109796299
28,a person is holding a blue and white kite,202000823730_5642,202000823730,5642,0.8299177129969753,0.7800946132931447
29,a man is walking in a room with a woman,202000823730_5802,202000823730,5802,0.8297980216397371,0.780065174862673
30,a group of men in suits standing in front of a tv,202000823730_5862,202000823730,5862,0.8297280688608437,0.7796746895336402
31,a man is wearing a black mask and moving his hands,202000823730_5916,202000823730,5916,0.829832567182676,0.7800434721450052
32,a group of people are sitting at tables and drinking wine,202000823730_5960,202000823730,5960,0.8299341107580672,0.7799725684426098
33,a group of people are dancing in a parking lot,202000823730_5997,202000823730,5997,0.8297689778348895,0.7798061316240468
34,a group of people on a street with a traffic light,202000823730_6099,202000823730,6099,0.8298856641177283,0.779842796353145
35,a group of people standing around each other holding a tennis racquet,202000823730_6230,202000823730,6230,0.8297970876539476,0.779728658485281
36,a man in a suit and tie standing in front of a microphone,202000823730_6457,202000823730,6457,0.829864709833741,0.7798939353430048
37,a book shelf with a keyboard and a mouse,202000823730_6818,202000823730,6818,0.8304100032182734,0.7801636029322421
38,a close up of a person with a tv in the background,202000823804_3,202000823804,3,0.8299650074561704,0.7796902536688526
39,a man is dancing and singing in a room,202000823804_20,202000823804,20,0.8297842097136309,0.780053863657231
40,a snowboarder is jumping in the air with a blue sky in the background,202000823804_151,202000823804,151,0.8300736416310949,0.78001048962634
41,a man is holding a microphone and a woman is holding a microphone,202000823804_532,202000823804,532,0.8299722954156017,0.7800653183943222
42,a man in a suit and tie holding a book,202000823804_1234,202000823804,1234,0.8297778230446022,0.7798458441123871
43,a man is holding a tennis racket in his hand,202000823804_1916,202000823804,1916,0.8298555162634089,0.7798000313250981
44,a group of people walking towards a plane on a runway,202000823804_2199,202000823804,2199,0.8299374214536261,0.7798579598912878
45,a man is dancing in front of a crowd,202000823804_2278,202000823804,2278,0.8296415553929105,0.7798541110608945
46,a car is driving down a street and then <unk>,202000823804_2369,202000823804,2369,0.8302139166326061,0.7801906077369971
47,a man is standing in front of a tv,202000823804_2479,202000823804,2479,0.8298574170092173,0.7796858664729703
48,a race car is driving down a track,202000823804_2595,202000823804,2595,0.8299477596357873,0.7797312238069634
49,a man is dancing in front of a crowd,202000823804_2715,202000823804,2715,0.8296415553929105,0.7798541110608945
50,a race car is skidding off the track,202000823804_2843,202000823804,2843,0.8301439222672856,0.7798240969458556
51,a man in a suit stands in front of a sign,202000823804_2945,202000823804,2945,0.8298242042389953,0.7797785782125611
52,a group of people riding skis down a snow covered slope,202000823804_3010,202000823804,3010,0.8299624725822378,0.779985744748608
