video_id,video_url,description
8,https://mtc.cdn.vine.co/r/videos_h264high/9EB0E6752C1283674414780723200_4fb95c40c21.4.1.8259012828175379513.mp4,2 men on a stage hug and walk away
8,https://mtc.cdn.vine.co/r/videos_h264high/9EB0E6752C1283674414780723200_4fb95c40c21.4.1.8259012828175379513.mp4,two young man are standing on a stage embracing each other and one claps the other one's ass.
26,https://mtc.cdn.vine.co/r/videos_h264high/A8B3EC75A41310911858093559808_1c7ccbc9d32.4.7.mp4,deadpool drinking from a cup
26,https://mtc.cdn.vine.co/r/videos_h264high/A8B3EC75A41310911858093559808_1c7ccbc9d32.4.7.mp4,persons in costumes dance
33,https://mtc.cdn.vine.co/r/videos/267829AEFA1289257200929435648_4741f3bfd41.5.0.8378585464982420345.mp4,a soccer player shoots a ball into a tiny goal on a soccer field at daytime
33,https://mtc.cdn.vine.co/r/videos/267829AEFA1289257200929435648_4741f3bfd41.5.0.8378585464982420345.mp4,soccer ball rolling into a small goal on a soccer field at daytime
46,https://mtc.cdn.vine.co/r/videos_h264high/B974B0478B1305585737231663104_SW_WEBM_14542495275220fe992b1c6.mp4,multiple chinese persons dance onstage
46,https://mtc.cdn.vine.co/r/videos_h264high/B974B0478B1305585737231663104_SW_WEBM_14542495275220fe992b1c6.mp4,on a podium 5 person perform a dance
64,https://mtc.cdn.vine.co/r/videos_h264high/C4D67116E91173152184846925824_SW_WEBM_142267547858813efdf6ced.mp4,an asian man in a clothing store embraces an other person
64,https://mtc.cdn.vine.co/r/videos_h264high/C4D67116E91173152184846925824_SW_WEBM_142267547858813efdf6ced.mp4,an asian man in cloth shop opens his jacket and embraces a woman.
70,https://mtc.cdn.vine.co/r/videos_h264high/C6A4A576911236904693415178240_1a32c6cecde.3.2.mp4,"at night, two women walks next to the children"
70,https://mtc.cdn.vine.co/r/videos_h264high/C6A4A576911236904693415178240_1a32c6cecde.3.2.mp4,a european woman with white and black clothes dance with kids
74,https://mtc.cdn.vine.co/r/videos_h264high/C7D6D317DF1270617114394370048_SW_WEBM_1445912930490d5369f3c2a.mp4,3 women spinning in circles
74,https://mtc.cdn.vine.co/r/videos_h264high/C7D6D317DF1270617114394370048_SW_WEBM_1445912930490d5369f3c2a.mp4,3 women change their clothes indoors at daytime
117,https://mtc.cdn.vine.co/r/videos_h264high/E83E9179781290007399750684672_SW_WEBM_1450535898201538af39024.mp4,person throws a chain of lights indoors
117,https://mtc.cdn.vine.co/r/videos_h264high/E83E9179781290007399750684672_SW_WEBM_1450535898201538af39024.mp4,a person throws christmas tree decorations indoors
139,https://mtc.cdn.vine.co/r/videos_h264high/F5B4E79B201172160925109776384_SW_WEBM_14224391277725414eb62d9.mp4,2 asian men in a park at daytime hold each others hands
139,https://mtc.cdn.vine.co/r/videos_h264high/F5B4E79B201172160925109776384_SW_WEBM_14224391277725414eb62d9.mp4,"at daytime, a group of 4 asian boys stands on a street and takes each others hand."
143,https://mtc.cdn.vine.co/r/videos_h264high/F73006C3261259711268294627328_42d9f3630a4.1.0.12424165254787892012.mp4,a man plays a violin indoors
143,https://mtc.cdn.vine.co/r/videos_h264high/F73006C3261259711268294627328_42d9f3630a4.1.0.12424165254787892012.mp4,inside a room a black man plays violin shown in different views.
148,https://mtc.cdn.vine.co/r/videos_h264high/FB5D924DB81331967614607634432_52a486f3467.9.0.5886835836032353801.mp4,a chinese man looks to the face of a dog and moves his face according to the face moving of the dog in a market
