video_id,description_0,description_1,description_2,description_3,description_4
17,A brown hair girl with lip piercings mumbles something then looks away.,A brown hair girl that looks sad opens her mouth and says something before turning away.,A girl with brown hair and lip rings looks away from the camera.,"A young woman wearing a striped shirt, who has two piercings in her lower lip, looks distressed.",A girl staring at the camera with earnings on its mouth
3628,A woman is standing and singing under a ceiling fan in a white room.,A woman is swaying in time as she sings to the camera.,A woman is standing in a room and singing a song.,A woman in a blue sweater sings while facing the camera.,A lady is in a room with a fan above her head singing.
6515,A person wearing a white sleeveless shirt is clapping and saying words at the same time.,A fat woman claps and hits the table while speaking.,A larger woman in a white tank top claps her hands.,Someone in a white v neck tee shirt is shown clapping their hands,A brunette sings and claps before in front of the camera.
471,"A woman leans against a red, decorated wall and poses for the camera.",A woman with a black and white top and peach skirt dance and laughs.,A black lady is singing and dancing in front of a red wall.,A woman in black and white sings and dances in front of a red wall.,A black lady is dancing in front of a red wall.
4171,Two overweight women sway next to each other as one of them sings.,Two ladies are standing in an open room while singing a song together.,Two morbidly obese women dance and sing in a room together,Two white women standing and singing while moving their body around,two fatties stand around and sing while swaying back and forth awkwardly
7660,A woman in a brown dress singing while sitting on a blanket on the dirt.,A woman wearing black sits on the ground on a white blanket.,A woman is speaking while putting her left hand near he head.,An older woman wearing black looks to be dancing and singing.,A lady with a round face is sitting on a blanket in the grass
512,A girl in a gray sweater is setting at a keyboard and singing.,A girl wearing a necklace plays an instrument and sings.,A girl sings into the camera while in her bedroom.,A girl in a black top singing a song into the camera,A girl with long black hair wearing a dark shirt sings into the camera
4367,A person is talking while the camera is pointed at the bottom of their chin.,"The lower part of a woman's face, neck and shoulders are shown while she speaks. ",A video of a lady's neck as she is talking and wearing a black shirt.,someone wearing black with rolls on their neck talking to someone,A person singing or speaking afar and facing into the camera
9383,a woman in a black and white dress holding onto a rail singing,A woman in a white and black dress stands around and talks.,The woman is singing while holding onto the yellow railing,A woman in a black and white outfit sings while holding a yellow railing.,A woman dressed in a white and black shirt is singing outside.
6020,A woman wakes up and shows her cute dog is also on her bed sleeping,a person sits in front of their closet and becomes still,Double doors shown from a child's view and then a glance at the window.,A woman in a room playing with her two dogs,Two dogs and a woman sit on a bed with zebra prints
9719,A woman is on her patio outside and is looking up.,a woman with short blonde hair and a striped dress is standing on a wooden deck,A woman in a blue dress is standing on a deck of a house talking.,A woman in a striped dress sings on a wooden patio,A lady in a blue dress is standing outside on a wood patio while singing.
5006,a group of people are sitting and talking around a few bottles of liquid,A group of people sit near some tables and talk in a room.,"Five people are sitting around two tables with a pot and cups on them chatting, and the word ""POND5"" is written on the screen.",There are a bunch of people sitting around eating and talking.,A group of people sit around a table and talk with words on the screen.
6091,A group of four people are performing at a concert in front of many people.,Four people are singing at night in front of a large crowd.,A crowd of fans surrounds a stage as a boy band performs.,A side view of a stage with four performers on it,4 men sing and dance on a stage in a large outdoor arena
5728,A man with tattoos sings a song in a car while moving his head around,Teenage African American young man is sitting in a vehicle and moving to the beat.,a young black fellow in a car and rapping at the camera with his hat backwards.,A young man sings to the radio as he sits in a car.,A young man with a navy blue baseball cap is in a car singing and dancing
3450,A very sweaty guy singing a song into a green microphone,A man with shoulder length hair sings into a microphone at a concert.,A man with curly hair sings on stage in the rain.,A man in a black shirt sings into a microphone,A young man sings passionately into a microphone at a concern.
8604,A woman gearing Indian garb is delivering a speech to speech viewers.,Two women and a man are on sage and one of the women behind the podium speaks.,A woman with a shaved head in a pink shiny dress makes as speech.,Woman speaking at podium with another woman and man standing to her left.,A lady in a pink shirt giving a speech at an event
9699,3 people sit outside in a field while looking at magazines,Three individuals sitting on the ground hold magazines as the woman plays with her hair,The three people are looking at magazines while sitting in a field.,a woman wearing a striped shirt adjusts her hair while reading,A woman adjusts the feather in her hair in a grassy meadow in the mountains.
8027,Soldiers shoot their guns into a desolate landscape at night.,Several soldiers fire their guns into the distance toward a smoking fire.,Men fire rifles towards an area lit up with flames and billowing smoke.,Soldiers shoot guns towards a hill during a battle with smoke rising in the background.,A couple of soldiers shooting guns and an explosion in the background
3719,a group if similarly aged kids are sitting  singing and clapping in a rhythmic way,A group of kids sit and clap their hands inside the auditorium.,Group of children are dressed up performing and clapping their hands.,A group of children clap and sing during a performance.,A class of children standing on stage while singing and clapping.
8010,Some older people are clapping their hands or waving fans to worship music,A group of people are gathered together waving fans and listening.,Several patrons of a church clap and sway with music while seated in pews.,A room full of people that are clapping and swaying.,A group of people fan themselves while sitting on pews and watching something.
1235,A man in a yellow jacket stands outside a soccer game.,A man in a yellow jacket sits down while a soccer game is going on in the background.,A man in a yellow vest at a soccer games takes a break from his duties,A security guard at a soccer game watch the crowd,A security person at a soccer arena turns and crouches
1317,There is a person walking on a very narrow ledge on the side of a cliff.,A hiker hikes dangerously close to the edge of a cliff high up in the air.,A person walking along a super steep rocky hillside holding onto a rope.,Person is walking carefully across ledge that has a large drop beneath it.,A man makes his way around a very dangerous mountain cliff that is high from the ground.
