,video_id,description,short_term,long_term,normalized_short_term,probability
0,8,2 men on a stage hug and walk away - two young man are standing on a stage embracing each other and one claps the other one's ass.,0.75,0.57,0.6242403111248205,8.2284603e-16
1,26,deadpool drinking from a cup - persons in costumes dance,0.87,0.43,0.8695652105807887,3.3805393e-14
2,33,a soccer player shoots a ball into a tiny goal on a soccer field at daytime - soccer ball rolling into a small goal on a soccer field at daytime,0.69,0.75,0.672876316155697,9.714292e-16
3,46,multiple chinese persons dance onstage - on a podium 5 person perform a dance,0.87,0.57,0.8695652105626488,1.1862607e-13
4,64,an asian man in a clothing store embraces an other person - an asian man in cloth shop opens his jacket and embraces a woman.,0.84,0.56,0.7698384644041473,1.086793e-33
5,70,"at night, two women walks next to the children - a european woman with white and black clothes dance with kids",0.74,1.0,0.7391304285367347,4.264316e-15
6,74,3 women spinning in circles - 3 women change their clothes indoors at daytime,0.91,1.0,0.8969412923334055,3.5195857e-10
7,117,person throws a chain of lights indoors - a person throws christmas tree decorations indoors,0.89,0.9,0.8670265629221968,1.1837797e-11
8,139,"2 asian men in a park at daytime hold each others hands - at daytime, a group of 4 asian boys stands on a street and takes each others hand.",0.82,0.8,0.8181818110053757,7.662868e-16
9,143,a man plays a violin indoors - inside a room a black man plays violin shown in different views.,0.81,0.86,0.7863942679295335,1.9559377e-11
10,148,a chinese man looks to the face of a dog and moves his face according to the face moving of the dog in a market - on a sidewalk a chinese man try to look at eyes of a little white dog directly,0.73,0.86,0.7000834972521168,1.2790251e-22
11,160,an asian woman on a stage does the robot dance - an asian woman in front of a blinking wall starts moving like a robot.,0.82,0.43,0.7974976638936105,3.1395641e-16
12,165,"in the daytime, 3 persons turn and dance in an indoor place - in a room with big windows members of a dance group perform a synchronous dance",0.88,0.8,0.8712755355741071,8.410776e-21
13,171,"in the daytime at sunset, sea waves move to the beach - on a beach red clouds above waves",0.82,0.67,0.8181818117052971,1.3102156e-15
14,172,a woman says something on a couch - a blond woman sitting on a couch in front of a white wall is saying things in different languages.,0.87,0.83,0.8695652093190344,1.9996322e-09
